x,y,left_dist,right_dist,Tx,Ty,Nx,Ny,kappa,dkappa,ddkappa,s
-13.7212,2.7537,0.8,0.85,-0.003138,0.999995,-0.999995,-0.003138,0.00578105,-0.00751092,-0.000619,17.1
-13.7215,2.8537,0.8,0.85,-0.003678,0.999993,-0.999993,-0.003678,0.00503009,-0.00743754,0.00061775,17.2
-13.7219,2.9537,0.8,0.85,-0.004144,0.999991,-0.999991,-0.004144,0.00429354,-0.00738737,3.683e-05,17.3
-13.7223,3.0537,0.8,0.85,-0.004537,0.99999,-0.99999,-0.004537,0.00355262,-0.00743017,-0.00041531,17.4
-13.7228,3.1537,0.8,0.85,-0.004855,0.999988,-0.999988,-0.004855,0.00280751,-0.00747043,-0.00041611,17.5
-13.7233,3.2537,0.8,0.85,-0.005098,0.999987,-0.999987,-0.005098,0.00205853,-0.00751339,-0.00055745,17.6
-13.7238,3.3537,0.8,0.85,-0.005266,0.999986,-0.999986,-0.005266,0.00130483,-0.00758192,-0.0007372,17.7
-13.7243,3.4537,0.8,0.85,-0.005359,0.999986,-0.999986,-0.005359,0.00054215,-0.00766083,-0.00051899,17.8
-13.7249,3.5537,0.809,1.9,-0.005375,0.999986,-0.999986,-0.005375,-0.00022734,-0.00768572,-5.06e-05,17.9
-13.7254,3.6537,1.6,1.9,-0.005314,0.999986,-0.999986,-0.005314,-0.000995,-0.00767095,3.357e-05,18.0
-13.7259,3.7537,1.6,1.9,-0.005176,0.999987,-0.999987,-0.005176,-0.00176153,-0.007679,-0.00021668,18.1
-13.7265,3.8537,1.6,1.9,-0.004961,0.999988,-0.999988,-0.004961,-0.0025308,-0.00771429,-0.00084029,18.2
-13.7269,3.9537,1.6,1.9,-0.00467,0.999989,-0.999989,-0.00467,-0.00330439,-0.00784706,-0.00133068,18.3
-13.7274,4.0537,1.6,1.9,-0.0043,0.999991,-0.999991,-0.0043,-0.00410021,-0.00798042,2.13e-05,18.4
-13.7278,4.1537,1.6,1.9,-0.00385,0.999993,-0.999993,-0.00385,-0.00490047,-0.0078428,0.00154565,18.5
-13.7282,4.2537,1.741,1.804,-0.00332,0.999994,-0.999994,-0.00332,-0.00566877,-0.00767129,0.00052923,18.6
-13.7285,4.3537,1.735,1.72,-0.002716,0.999996,-0.999996,-0.002716,-0.00643473,-0.00773695,-0.00074412,18.7
-13.7287,4.4537,1.6,1.9,-0.002033,0.999998,-0.999998,-0.002033,-0.00721616,-0.00782012,-0.00117858,18.8
-13.7289,4.5537,1.6,1.9,-0.001273,0.999999,-0.999999,-0.001273,-0.00799875,-0.00797267,-0.00197799,18.9
-13.729,4.6537,1.6,1.9,-0.000434,1.0,-1.0,-0.000434,-0.00881069,-0.00821572,-0.00044523,19.0
-13.729,4.7537,1.6,1.9,0.000489,1.0,-1.0,0.000489,-0.0096419,-0.00806172,0.00278624,19.1
-13.7289,4.8537,1.6,1.9,0.001495,0.999999,-0.999999,0.001495,-0.01042304,-0.00765847,0.00222844,19.2
-13.7287,4.9537,1.6,1.9,0.002574,0.999997,-0.999997,0.002574,-0.01117359,-0.00761603,-0.00063938,19.3
-13.7283,5.0537,1.6,1.9,0.003729,0.999993,-0.999993,0.003729,-0.01194624,-0.00778634,-0.0020105,19.4
-13.7279,5.1537,0.8,0.94,0.004963,0.999988,-0.999988,0.004963,-0.01273086,-0.00801813,-0.00280962,19.5
-13.7274,5.2537,0.8,0.9,0.006276,0.99998,-0.99998,0.006276,-0.01354987,-0.00834827,0.00289593,19.6
-13.7267,5.3537,0.8,0.9,0.007673,0.999971,-0.999971,0.007673,-0.01440051,-0.00743894,0.04278787,19.7
-13.7258,5.4537,0.8,0.9,0.009156,0.999958,-0.999958,0.009156,-0.01503766,0.00020931,0.13317606,19.8
-13.7248,5.5537,0.8,0.9,0.010681,0.999943,-0.999943,0.010681,-0.01435865,0.01919627,0.20246278,19.9
-13.7237,5.6537,0.8,0.9,0.012027,0.999928,-0.999928,0.012027,-0.0111984,0.04070186,0.16435333,20.0
-13.7224,5.7537,0.8,0.9,0.01292,0.999917,-0.999917,0.01292,-0.00621828,0.05206694,0.0685547,20.1
-13.7211,5.8536,0.8,0.9,0.013271,0.999912,-0.999912,0.013271,-0.00078501,0.0544128,0.01064874,20.2
-13.7198,5.9536,0.8,0.9,0.013077,0.999914,-0.999914,0.013077,0.00466428,0.05419668,-0.00628735,20.3
-13.7185,6.0536,0.8,0.9,0.012338,0.999924,-0.999924,0.012338,0.01005432,0.05315533,-0.01222306,20.4
-13.7173,6.1536,0.8,0.9,0.011066,0.999939,-0.999939,0.011066,0.01529535,0.05175207,-0.01328568,20.5
-13.7163,6.2536,0.8,0.9,0.009279,0.999957,-0.999957,0.009279,0.02040474,0.05049819,-0.01300222,20.6
-13.7154,6.3536,0.8,0.9,0.006986,0.999976,-0.999976,0.006986,0.02539499,0.04915163,-0.01472218,20.7
-13.7149,6.4536,0.8,0.9,0.0042,0.999991,-0.999991,0.0042,0.03023506,0.04755376,-0.01690816,20.8
-13.7146,6.5536,0.8,0.9,0.000939,1.0,-1.0,0.000939,0.03490574,0.04577,-0.01870015,20.9
