x,y,v,kappa,s
-10.698,53.555,3.855,0.4835,64.5101
-10.803,53.726,4.154,0.174,64.7099
-10.913,53.892,4.076,-0.2282,64.9099
-11.016,54.063,3.875,-0.4252,65.1093
-11.104,54.242,3.663,0.6578,65.3091
-11.214,54.409,3.827,-0.6029,65.5091
-11.304,54.588,4.128,0.4327,65.7089
-11.409,54.757,4.409,0.0869,65.9084
-11.517,54.926,4.673,-0.2116,66.1083
-11.618,55.098,4.526,-0.1269,66.3083
-11.714,55.274,4.346,0.4675,66.5083
-11.826,55.439,4.187,-0.5035,66.7083
-11.921,55.615,4.365,0.2148,66.908
-12.024,55.786,4.178,0.0254,67.1076
-12.127,55.957,3.982,-0.4326,67.3071
-12.215,56.136,3.776,0.6191,67.5069
-12.325,56.303,3.865,-0.5909,67.7069
-12.414,56.482,4.164,0.4375,67.9067
-12.518,56.652,4.442,0.1463,68.1062
-12.628,56.82,4.704,-0.1895,68.3062
-12.731,56.991,4.953,-0.2325,68.5061
-12.826,57.167,4.931,0.0302,68.7061
-12.922,57.342,4.766,0.1848,68.9061
-13.024,57.514,4.595,-0.2057,69.1061
-13.119,57.69,4.418,0.0227,69.3059
-13.215,57.865,4.233,0.433,69.5055
-13.326,58.031,4.04,0.0092,69.7055
-13.437,58.198,3.837,-0.5998,69.9055
-13.528,58.376,4.137,0.2476,70.1053
-13.627,58.549,4.417,0.0399,70.3051
-13.728,58.722,4.681,-0.1526,70.505
-13.823,58.898,4.796,0.018,70.705
-13.919,59.073,4.626,0.2423,70.905
-14.023,59.244,4.45,-0.3679,71.105
-14.115,59.421,4.267,0.2652,71.3048
-14.215,59.594,4.075,0.0436,71.5044
-14.318,59.765,3.874,-0.3465,71.704
-14.408,59.944,3.662,0.6582,71.9038
-14.52,60.109,3.977,-0.2089,72.1038
-14.626,60.278,4.268,-0.2109,72.3038
-14.725,60.452,4.54,-0.0868,72.5037
-14.82,60.628,4.686,0.0662,72.7037
-14.918,60.803,4.512,0.188,72.9036
-15.022,60.973,4.331,-0.4697,73.1036
-15.11,61.153,4.142,0.5146,73.3036
-15.216,61.322,4.422,-0.2543,73.5034
-15.313,61.497,4.351,-0.0311,73.7029
-15.408,61.672,4.164,0.3958,73.9024
-15.518,61.839,3.967,-0.561,74.1023
-15.608,62.018,3.897,0.5814,74.3023
