x,y,v,kappa
-18.629,67.189,0.556,0.038
-18.734,67.359,0.501,-0.1092
-18.825,67.537,0.43,0.025
-18.923,67.711,0.644,0.1499
-19.024,67.884,0.369,0.145
-19.133,68.052,0.586,0.1324
-19.244,68.218,0.395,0.3182
-19.36,68.38,0.507,1.0923
-19.502,68.52,0.498,1.5646
-19.696,68.569,0.405,0.552
-19.888,68.627,0.576,0.1404
-20.08,68.68,0.376,0.572
-20.276,68.711,0.585,0.7572
-20.476,68.701,0.379,0.5317
-20.674,68.676,0.602,0.4646
-20.871,68.637,0.371,0.5146
-21.058,68.569,0.594,0.4831
-21.244,68.494,0.388,0.7879
-21.41,68.391,0.529,0.8242
-21.549,68.248,0.454,0.2634
-21.692,68.107,0.56,0.11
-21.832,67.965,0.388,0.3382
-21.959,67.811,0.565,0.2597
-22.074,67.647,0.379,-0.1107
-22.196,67.489,0.576,-0.1524
-22.33,67.34,0.403,0.1667
-22.451,67.182,0.565,0.2447
-22.564,67.017,0.376,0.0853
-22.675,66.851,0.577,0.0032
-22.788,66.685,0.39,-0.0139
-22.899,66.519,0.536,-0.1555
-23.014,66.355,0.415,-0.3603
-23.143,66.203,0.493,-0.3026
-23.284,66.061,0.546,-0.0932
-23.423,65.918,0.421,-0.1387
-23.565,65.777,0.507,-0.3572
-23.719,65.65,0.488,-0.4161
-23.883,65.537,0.412,-0.3496
-24.055,65.434,0.535,-0.356
-24.233,65.342,0.504,-0.5002
-24.418,65.267,0.566,-0.495
-24.612,65.222,0.469,-0.1182
-24.806,65.176,0.53,0.0435
-24.998,65.119,0.607,-0.3498
-25.193,65.077,0.425,-0.4174
-25.393,65.072,0.499,-0.109
-25.591,65.044,0.562,-0.3575
-25.787,65.042,0.39,-0.3457
-25.985,65.066,0.531,-0.2345
-26.185,65.067,0.392,-0.3164
-26.376,65.126,0.556,0.1493
-26.574,65.14,0.42,-0.0169
-26.771,65.163,0.502,-0.5642
-26.964,65.216,0.514,-0.3876
-27.15,65.288,0.492,-0.1535
-27.34,65.352,0.406,-0.3375
-27.521,65.436,0.551,-0.5241
-27.693,65.537,0.387,-0.5032
-27.853,65.657,0.553,-0.2229
-28.003,65.789,0.384,-0.038
-28.164,65.907,0.556,-0.2451
-28.308,66.045,0.383,-0.2234
-28.449,66.187,0.557,-0.0331
-28.59,66.329,0.385,-0.0021
-28.731,66.471,0.55,-0.1382
-28.872,66.613,0.395,-0.3617
-28.996,66.769,0.528,-0.3347
-29.11,66.933,0.412,-0.1694
-29.22,67.1,0.517,-0.0438
-29.326,67.27,0.512,0.0523
-29.438,67.436,0.421,-0.04
-29.549,67.602,0.553,-0.2596
-29.65,67.774,0.438,-0.3808
-29.735,67.955,0.554,-0.0878
-29.808,68.141,0.42,0.0993
-29.909,68.313,0.511,-0.133
-29.98,68.5,0.516,-0.0491
-30.064,68.68,0.496,-0.1085
