x,y,v,kappa,s
-8.66,50.122,4.524,-0.1065,60.513
-8.758,50.296,4.251,0.183,60.713
-8.863,50.467,3.959,0.2337,60.913
-8.976,50.632,3.643,-0.6653,61.113
-9.066,50.81,3.958,0.3802,61.313
-9.169,50.982,4.25,0.2133,61.512
-9.279,51.148,4.107,-0.1528,61.712
-9.384,51.318,3.804,-0.5443,61.912
-9.47,51.499,3.474,0.7314,62.112
-9.581,51.665,3.804,-0.0392,62.312
-9.691,51.832,4.107,-0.41,62.512
-9.787,52.007,4.389,-0.0016,62.711
-9.883,52.181,4.296,0.3761,62.911
-9.992,52.349,4.008,-0.5497,63.111
-10.082,52.528,3.816,0.6062,63.311
-10.193,52.694,4.119,-0.3086,63.51
-10.293,52.867,4.4,-0.0383,63.71
-10.392,53.041,4.162,0.1991,63.91
-10.498,53.21,3.863,0.1899,64.11
-10.61,53.376,3.539,-0.7049,64.31
-10.698,53.555,3.863,0.4824,64.51
-10.803,53.726,4.162,0.1739,64.71
-10.913,53.892,4.274,-0.2281,64.91
-11.016,54.063,3.984,-0.4244,65.109
-11.104,54.242,3.671,0.655,65.309
-11.214,54.409,3.834,-0.6007,65.509
-11.304,54.588,4.135,0.4319,65.709
-11.409,54.757,4.415,0.0869,65.908
-11.517,54.926,4.679,-0.2115,66.108
-11.618,55.098,4.618,-0.1269,66.308
-11.714,55.274,4.35,0.4665,66.508
-11.826,55.439,4.193,-0.5022,66.708
-11.921,55.615,4.47,0.2147,66.908
-12.024,55.786,4.371,0.0254,67.108
-12.127,55.957,4.088,-0.4318,67.307
-12.215,56.136,3.784,0.6167,67.507
-12.325,56.303,3.872,-0.5889,67.707
-12.414,56.482,4.17,0.4367,67.907
-12.518,56.652,4.448,0.1462,68.106
-12.628,56.82,4.71,-0.1894,68.306
-12.731,56.991,4.958,-0.2324,68.506
-12.826,57.167,5.195,0.0302,68.706
-12.922,57.342,5.173,0.1848,68.906
-13.024,57.514,4.936,-0.2057,69.106
-13.119,57.69,4.687,0.0227,69.306
-13.215,57.865,4.424,0.4322,69.505
-13.326,58.031,4.144,0.0092,69.705
-13.437,58.198,3.843,-0.5977,69.905
-13.528,58.376,4.144,0.2474,70.105
-13.627,58.549,4.423,0.0399,70.305
-13.728,58.722,4.687,-0.1526,70.505
-13.823,58.898,4.936,0.018,70.705
-13.919,59.073,5.045,0.2421,70.905
-14.023,59.244,4.802,-0.3674,71.105
-14.115,59.421,4.545,0.265,71.305
-14.215,59.594,4.274,0.0436,71.504
-14.318,59.765,3.983,-0.346,71.704
-14.408,59.944,3.67,0.6554,71.904
-14.52,60.109,3.984,-0.2088,72.104
-14.626,60.278,4.274,-0.2108,72.304
-14.725,60.452,4.546,-0.0867,72.504
-14.82,60.628,4.803,0.0662,72.704
-14.918,60.803,4.609,0.1879,72.904
-15.022,60.973,4.34,-0.4686,73.104
-15.11,61.153,4.148,0.5132,73.304
-15.216,61.322,4.427,-0.2542,73.503
-15.313,61.497,4.537,-0.0311,73.703
-15.408,61.672,4.265,0.3951,73.902
-15.518,61.839,3.973,-0.5592,74.102
-15.608,62.018,3.903,0.5794,74.302
-15.718,62.184,4.199,-0.3908,74.502
-15.815,62.359,4.476,0.0857,74.702
-15.914,62.532,4.258,0.188,74.901
-16.02,62.701,3.966,-0.5613,75.101
-16.107,62.881,3.731,0.6343,75.301
-16.216,63.049,4.04,-0.4361,75.501
-16.309,63.226,4.326,0.0545,75.701
-16.405,63.401,4.595,0.118,75.901
-16.505,63.575,4.487,0.0303,76.101
-16.605,63.747,4.211,0.3344,76.301
-16.717,63.913,3.915,-0.5759,76.501
-16.81,64.09,4.211,0.3692,76.7
-16.915,64.26,4.486,-0.1503,76.9
-17.014,64.433,4.259,-0.2521,77.099
-17.105,64.611,3.968,0.5407,77.299
-17.215,64.778,3.653,-0.6615,77.499
-17.302,64.958,3.842,0.5982,77.699
-17.409,65.126,4.142,0.0109,77.899
-17.517,65.294,4.422,-0.2102,78.099
-17.618,65.467,4.557,-0.1305,78.299
-17.715,65.642,4.285,0.4808,78.498
-17.827,65.807,4.557,-0.4023,78.698
-17.926,65.981,4.813,0.0394,78.898
-18.027,66.154,4.924,-0.1144,79.098
-18.123,66.329,4.674,-0.0617,79.298
-18.217,66.505,4.41,0.4484,79.498
-18.327,66.672,4.129,0.0606,79.698
-18.439,66.838,3.828,-0.6026,79.898
-18.53,67.016,4.129,0.2493,80.098
-18.629,67.189,4.409,0.1453,80.297
-18.734,67.359,4.487,-0.3868,80.497
-18.825,67.537,4.211,0.192,80.697
-18.923,67.711,3.916,0.102,80.897
-19.024,67.884,3.597,0.2036,81.097
-19.133,68.052,3.246,0.0705,81.297
-19.244,68.218,2.853,0.1862,81.496
-19.36,68.38,2.397,0.832,81.696
-19.502,68.52,1.829,2.6386,81.896
-19.696,68.569,2.397,-0.2341,82.096
-19.888,68.627,2.854,0.1143,82.296
-20.08,68.68,3.247,0.5752,82.496
-20.276,68.711,2.936,1.024,82.694
-20.476,68.701,3.32,0.3758,82.894
-20.674,68.676,3.663,0.3706,83.094
-20.871,68.637,3.434,0.7485,83.294
-21.058,68.569,3.443,0.1805,83.493
-21.244,68.494,3.075,0.8551,83.693
-21.41,68.391,2.665,1.2429,83.889
-21.549,68.248,3.083,-0.0954,84.089
-21.692,68.107,3.45,0.0464,84.289
-21.832,67.965,3.782,0.4458,84.489
-21.959,67.811,4.086,0.4118,84.688
-22.074,67.647,4.369,-0.2317,84.888
-22.196,67.489,4.636,-0.3897,85.088
-22.33,67.34,4.683,0.4026,85.288
-22.451,67.182,4.932,0.251,85.488
-22.564,67.017,5.17,0.0738,85.688
-22.675,66.851,5.096,-0.0566,85.888
-22.788,66.685,4.855,0.0522,86.088
-22.899,66.519,4.601,-0.1035,86.288
-23.014,66.355,4.332,-0.4704,86.488
-23.143,66.203,4.6,-0.3932,86.687
-23.284,66.061,4.854,0.0479,86.887
-23.423,65.918,4.691,-0.0774,87.087
-23.565,65.777,4.427,-0.4504,87.287
-23.719,65.65,4.435,-0.4489,87.487
-23.883,65.537,4.335,-0.3131,87.687
-24.055,65.434,4.049,-0.3254,87.886
-24.233,65.342,3.741,-0.4612,88.086
-24.418,65.267,3.405,-0.7613,88.286
-24.612,65.222,3.74,0.0147,88.486
-24.806,65.176,3.757,0.2589,88.685
-24.998,65.119,3.423,-0.3577,88.885
-25.193,65.077,3.052,-0.9477,89.085
-25.393,65.072,3.423,0.5961,89.285
-25.591,65.044,3.578,-0.6898,89.484
-25.787,65.042,3.266,-0.6474,89.681
-25.985,65.066,2.877,0.602,89.88
-26.185,65.067,2.424,-1.5023,90.08
-26.376,65.126,2.741,1.1754,90.28
-26.574,65.14,3.146,-0.2549,90.479
-26.771,65.163,3.462,-0.7365,90.677
-26.964,65.216,3.792,-0.5193,90.877
-27.15,65.288,4.097,0.2165,91.077
-27.34,65.352,4.082,-0.5299,91.277
-27.521,65.436,4.171,-0.5074,91.477
-27.693,65.537,3.998,-0.5525,91.676
-27.853,65.657,4.269,-0.3958,91.876
-28.003,65.789,3.978,0.4499,92.076
-28.164,65.907,3.664,-0.6575,92.276
-28.308,66.045,3.978,-0.1111,92.475
-28.449,66.187,4.269,-0.0155,92.675
-28.59,66.329,4.541,0.0093,92.875
-28.731,66.471,4.322,-0.0115,93.075
-28.872,66.613,4.034,-0.5425,93.275
-28.996,66.769,4.321,-0.3462,93.475
-29.11,66.933,4.59,-0.1028,93.675
-29.22,67.1,4.844,-0.1278,93.875
-29.326,67.27,4.797,0.1832,94.075
-29.438,67.436,4.54,-0.0293,94.275
-29.549,67.602,4.268,-0.2853,94.475
-29.65,67.774,3.977,-0.4391,94.675
-29.735,67.955,3.663,-0.3573,94.874
-29.808,68.141,3.32,0.801,95.074
-29.909,68.313,3.219,-0.8523,95.274
-29.98,68.5,3.571,0.3755,95.474
-30.064,68.68,3.892,-0.092,95.673
-30.145,68.862,3.761,-0.624,95.872
-30.203,69.054,4.068,-0.0784,96.072
-30.258,69.246,4.353,0.0763,96.272
-30.316,69.438,4.62,-0.2517,96.472
-30.364,69.632,4.781,0.1384,96.672
-30.417,69.824,4.523,-0.0154,96.872
-30.47,70.017,4.25,-0.4889,97.071
-30.504,70.214,4.055,-0.537,97.271
-30.516,70.413,3.94,0.322,97.471
-30.542,70.612,3.623,-0.0006,97.671
-30.567,70.81,3.275,-0.2405,97.871
-30.583,71.009,2.887,-0.4194,98.071
-30.582,71.209,2.436,1.4883,98.271
-30.639,71.4,2.731,-1.184,98.471
-30.651,71.598,3.136,-0.3401,98.669
-30.649,71.798,3.498,-0.1083,98.869
-30.642,71.998,3.345,-0.7892,99.068
-30.604,72.194,3.686,0.5733,99.268
-30.589,72.393,3.64,0.2957,99.468
-30.586,72.593,3.294,-0.3571,99.668
-30.569,72.79,2.911,-0.9233,99.866
-30.516,72.982,2.467,1.4504,100.065
-30.52,73.182,2.645,-1.2618,100.265
-30.474,73.375,3.062,0.0483,100.463
-30.43,73.57,3.415,0.2775,100.663
-30.397,73.767,3.043,-0.1774,100.863
-30.357,73.962,2.621,-1.2851,101.062
-30.268,74.141,3.045,0.8976,101.262
-30.213,74.333,3.415,0.0368,101.462
-30.159,74.526,3.75,-0.3291,101.662
-30.092,74.714,3.585,-0.571,101.861
-30.005,74.893,3.234,-0.7145,102.061
-29.893,75.059,2.839,1.0954,102.261
-29.82,75.245,3.234,-0.579,102.461
-29.725,75.421,3.585,-0.3488,102.66
-29.619,75.59,3.906,-0.124,102.86
-29.508,75.757,4.012,-0.0277,103.06
-29.397,75.922,3.701,-0.6445,103.26
-29.265,76.073,3.848,0.5963,103.46
-29.152,76.237,3.853,-0.5821,103.66
-29.021,76.387,3.531,-0.1772,103.858
-28.885,76.532,3.175,0.876,104.057
-28.776,76.7,2.941,-1.0205,104.257
-28.635,76.841,3.324,-0.0381,104.457
-28.493,76.982,3.668,0.0102,104.657
-28.351,77.123,3.981,0.0011,104.857
-28.21,77.264,4.272,-0.2933,105.057
-28.06,77.397,4.544,-0.2706,105.257
-27.903,77.521,4.801,0.1798,105.457
-27.751,77.651,4.914,0.0772,105.657
-27.601,77.783,4.664,-0.2698,105.857
-27.444,77.907,4.399,-0.4479,106.057
-27.277,78.016,4.117,0.044,106.257
-27.11,78.127,3.814,-0.3781,106.457
-26.936,78.224,3.486,-0.041,106.656
-26.761,78.321,3.124,0.3393,106.856
-26.594,78.428,2.715,-1.198,107.055
-26.404,78.493,2.764,1.1554,107.255
-26.236,78.6,3.168,-0.5126,107.454
-26.057,78.688,3.525,-0.2179,107.653
-25.874,78.769,3.85,-0.0091,107.853
-25.692,78.85,4.15,-0.3827,108.053
-25.503,78.916,4.43,-0.1412,108.253
-25.313,78.977,4.693,-0.1287,108.453
-25.121,79.033,4.942,-0.0827,108.653
-24.928,79.086,4.935,0.0362,108.853
-24.735,79.141,4.685,0.0498,109.053
-24.543,79.197,4.422,-0.3186,109.253
-24.348,79.241,4.142,-0.083,109.453
-24.152,79.281,3.841,-0.4146,109.653
-23.954,79.306,3.515,0.2588,109.853
-23.758,79.34,3.157,0.1979,110.052
-23.564,79.382,2.754,-1.1638,110.25
-23.364,79.378,2.509,1.4023,110.45
-23.172,79.429,2.947,-0.8871,110.65
-22.974,79.446,3.255,-0.4729,110.848
-22.774,79.444,2.862,0.0775,111.048
-22.575,79.446,2.408,1.5222,111.247
-22.385,79.507,2.466,-1.452,111.447
-22.186,79.511,2.909,-0.1387,111.646
-21.986,79.51,3.144,-0.2094,111.845
-21.788,79.5,2.74,-1.1763,112.044
-21.596,79.444,2.483,1.4323,112.244
-21.396,79.445,2.926,-0.0077,112.444
-21.196,79.446,3.311,-0.4039,112.644
-20.998,79.43,3.654,-0.5584,112.843
-20.802,79.393,3.588,0.6858,113.043
-20.602,79.382,3.908,-0.4816,113.243
-20.404,79.353,4.204,0.1415,113.442
-20.206,79.329,4.181,-0.1679,113.642
-20.009,79.298,3.884,-0.5852,113.842
-19.816,79.245,3.705,-0.1308,114.042
-19.625,79.186,3.366,0.7794,114.242
-19.427,79.158,3.705,-0.1171,114.441
-19.23,79.125,3.481,-0.7287,114.641
-19.041,79.065,3.693,-0.6474,114.839
-18.861,78.981,3.381,0.7726,115.038
-18.669,78.925,3.719,-0.0381,115.238
-18.477,78.867,4.028,-0.1367,115.438
-18.287,78.804,4.316,-0.4536,115.638
-18.104,78.725,4.266,-0.0942,115.838
-17.923,78.642,3.975,0.2986,116.038
-17.736,78.57,3.661,-0.6586,116.237
-17.561,78.474,3.976,0.2016,116.437
-17.382,78.386,4.027,-0.4538,116.637
-17.211,78.281,3.718,-0.1785,116.837
-17.045,78.171,3.379,0.1983,117.037
-16.874,78.067,3.004,0.516,117.237
-16.694,77.981,2.575,-1.3319,117.436
-16.542,77.851,3.005,0.0662,117.636
-16.389,77.722,3.381,0.3288,117.836
-16.228,77.605,3.568,-0.0037,118.036
-16.067,77.487,3.216,-0.8538,118.235
-15.928,77.343,2.982,0.9928,118.435
-15.764,77.23,3.36,-0.6221,118.635
-15.615,77.097,3.699,-0.1238,118.834
-15.469,76.96,4.01,0.2273,119.034
-15.317,76.83,4.299,0.1458,119.234
-15.162,76.705,4.264,-0.4857,119.434
-15.019,76.565,4.536,-0.0565,119.634
-14.878,76.424,4.793,0.0098,119.834
-14.736,76.282,4.75,-0.0005,120.034
-14.595,76.141,4.49,-0.0058,120.234
-14.453,75.999,4.214,0.015,120.434
-14.311,75.858,3.919,-0.3385,120.634
-14.18,75.709,3.602,-0.6807,120.833
-14.07,75.542,3.92,0.4151,121.033
-13.946,75.385,4.215,0.2663,121.233
-13.814,75.235,4.491,-0.3582,121.432
-13.694,75.076,4.75,-0.2449,121.632
-13.581,74.911,4.996,0.1527,121.832
-13.463,74.749,5.231,-0.2306,122.032
-13.352,74.582,5.455,0.0558,122.232
-13.24,74.417,5.671,0.0129,122.432
-13.127,74.252,5.879,0.0054,122.632
-13.015,74.087,6.08,-0.001,122.832
-12.902,73.921,6.274,-0.0448,123.032
-12.79,73.755,6.462,-0.1204,123.232
-12.683,73.586,6.577,0.0992,123.432
-12.573,73.42,6.392,0.013,123.632
-12.461,73.254,6.201,-0.0555,123.832
-12.352,73.086,6.005,-0.0168,124.032
-12.244,72.918,5.801,-0.0002,124.232
-12.135,72.75,5.591,0.0545,124.432
